City,Date,Average Temperature,Max Temperature,Min Temperature,Average Wind Speed,Total Precipitation,Max Snow Depth
Ай-Петрі,1.2020,-2.5 °,+3.9°,-9.2°,3.9 м/с,50.9 мм,16 см
Ай-Петрі,2.2020,-2.3 °,+7.2°,-16.2°,4.7 м/с,145.5 мм,31 см
Ай-Петрі,3.2020,+3.9 °,+14.4°,-9.6°,3.2 м/с,8 мм,9 см
Ай-Петрі,4.2020,+3.6 °,+15.6°,-7°,3.2 м/с,18 мм,-
Ай-Петрі,5.2020,+9 °,+21.9°,+0.1°,4 м/с,55.5 мм,-
Ай-Петрі,6.2020,+15.3 °,+24.7°,+4.5°,2.4 м/с,51.8 мм,-
Ай-Петрі,7.2020,+17.3 °,+26°,+8.5°,3.5 м/с,48.8 мм,-
Ай-Петрі,8.2020,+16.7 °,+25.4°,+7.8°,3.4 м/с,4.9 мм,-
Ай-Петрі,9.2020,+15.5 °,+26.2°,+4.8°,2.7 м/с,35 мм,-
Ай-Петрі,10.2020,+11.9 °,+19.6°,-0.8°,2.9 м/с,33.2 мм,-
Ай-Петрі,11.2020,+2.6 °,+14.9°,-6.9°,2.9 м/с,36.1 мм,1 см
Ай-Петрі,12.2020,+2.2 °,+11°,-8.6°,2.2 м/с,46.2 мм,3 см
Асканія Нова,1.2020,+1.1 °,+9.4°,-7.8°,2.7 м/с,18.6 мм,1 см
Асканія Нова,2.2020,+2.2 °,+14.2°,-15.8°,4.6 м/с,45.4 мм,7 см
Асканія Нова,3.2020,+7.5 °,+23.2°,-8°,4.6 м/с,3.7 мм,-
Асканія Нова,4.2020,+9.4 °,+22.8°,-2.8°,4.1 м/с,7.7 мм,-
Асканія Нова,5.2020,+14.9 °,+26.5°,+2°,3.8 м/с,32.8 мм,-
Асканія Нова,6.2020,+22.2 °,+34.6°,+9.1°,3.3 м/с,59.5 мм,-
Асканія Нова,7.2020,+24.7 °,+37.9°,+12.5°,3.2 м/с,47.3 мм,-
Асканія Нова,8.2020,+23.2 °,+36.8°,+10.2°,2.8 м/с,44.4 мм,-
Асканія Нова,9.2020,+20.3 °,+35.2°,+5.6°,2.7 м/с,21.1 мм,-
Асканія Нова,10.2020,+15.1 °,+26°,+2.6°,3.3 м/с,25.5 мм,-
Асканія Нова,11.2020,+4.9 °,+15.2°,-3°,2.8 м/с,36.4 мм,-
Асканія Нова,12.2020,+1.4 °,+12.6°,-6°,5.4 м/с,13.8 мм,1 см
Бахмут,1.2020,+0.3 °,+6.6°,-8.2°,1.7 м/с,29.5 мм,7 см
Бахмут,2.2020,+0.3 °,+13°,-18.4°,2.5 м/с,60 мм,7 см
Бахмут,3.2020,+6.8 °,+22.5°,-7.2°,2.5 м/с,23.7 мм,1 см
Бахмут,4.2020,+8.4 °,+23.8°,-4.4°,2.7 м/с,7.3 мм,-
Бахмут,5.2020,+14 °,+28°,+1°,1.8 м/с,59.7 мм,-
Бахмут,6.2020,+22.5 °,+34.3°,+11.1°,1.6 м/с,7.8 мм,-
Бахмут,7.2020,+23.4 °,+38.1°,+10.8°,1.6 м/с,29.3 мм,-
Бахмут,8.2020,+21.4 °,+34.1°,+5.9°,1.4 м/с,12.8 мм,-
Бахмут,9.2020,+18 °,+34.8°,-0.1°,2 м/с,1.2 мм,-
Бахмут,10.2020,+13.5 °,+25.9°,-0.3°,1.9 м/с,7.8 мм,-
Бахмут,11.2020,+2.7 °,+13.8°,-9.9°,2 м/с,29.8 мм,2 см
Бахмут,12.2020,-3.1 °,+4°,-12.1°,2.4 м/с,28.4 мм,2 см
Біла Церква,1.2020,+0.4 °,+6.3°,-7.1°,3.4 м/с,22.6 мм,3 см
Біла Церква,2.2020,+2.1 °,+10.3°,-8.7°,4.4 м/с,39.3 мм,3 см
Біла Церква,3.2020,+5.9 °,+18.5°,-6.4°,3.6 м/с,17.7 мм,4 см
Біла Церква,4.2020,+9.2 °,+23.3°,-5.3°,4.2 м/с,13.5 мм,-
Біла Церква,5.2020,+12.5 °,+27.5°,+1°,3.4 м/с,103.3 мм,-
Біла Церква,6.2020,+21.2 °,+33.5°,+6°,2.7 м/с,60.8 мм,-
Біла Церква,7.2020,+20.6 °,+31.9°,+10.4°,2.4 м/с,79.8 мм,-
Біла Церква,8.2020,+19.8 °,+32.3°,+5°,2.2 м/с,46.2 мм,-
Біла Церква,9.2020,+17.1 °,+33.5°,+2.9°,2.6 м/с,27.3 мм,-
Біла Церква,10.2020,+12.7 °,+22.1°,+2.6°,2.7 м/с,62.9 мм,-
Біла Церква,11.2020,+3.4 °,+10.2°,-5.6°,3 м/с,28.5 мм,5 см
Біла Церква,12.2020,-0.4 °,+8.8°,-9.2°,3.4 м/с,34.3 мм,4 см
Білопілля,1.2020,+0.2 °,+6.8°,-6°,2.2 м/с,16.5 мм,2 см
Білопілля,2.2020,+1.7 °,+10.3°,-9°,2.8 м/с,29.6 мм,3 см
Білопілля,3.2020,+5.2 °,+18.3°,-7.5°,2.3 м/с,12.9 мм,-
Білопілля,4.2020,+8.9 °,+23°,-5.4°,2.4 м/с,26.9 мм,-
Білопілля,5.2020,+11.7 °,+27°,+0.8°,2.1 м/с,121.6 мм,-
Білопілля,6.2020,+20.8 °,+32.6°,+6.3°,1.3 м/с,38.2 мм,-
Білопілля,7.2020,+20.2 °,+31.1°,+10°,1.4 м/с,72.8 мм,-
Білопілля,8.2020,+20.1 °,+32.7°,+6.7°,1.2 м/с,38.3 мм,-
Білопілля,9.2020,+17 °,+33.4°,+4.2°,1.5 м/с,34 мм,-
Білопілля,10.2020,+12.3 °,+21.5°,+3.3°,1.6 м/с,80.9 мм,-
Білопілля,11.2020,+3.6 °,+9.8°,-4.4°,1.7 м/с,25.8 мм,-
Білопілля,12.2020,-0.3 °,+7.4°,-8.1°,2.3 м/с,25.3 мм,3 см
Берегове,2.2020,+5.1 °,+12.8°,-3.6°,1.5 м/с,11 мм,-
Берегове,3.2020,+7.2 °,+19.6°,-5.4°,1.2 м/с,48.6 мм,-
Берегове,4.2020,+11.4 °,+23.6°,-2.8°,0.8 м/с,5 мм,-
Берегове,5.2020,+13.7 °,+27.3°,-0.2°,1 м/с,54.3 мм,-
Берегове,6.2020,+20.4 °,+31.1°,+5.1°,0.8 м/с,140.8 мм,-
Берегове,7.2020,+21.1 °,+31.2°,+9.6°,0.6 м/с,56.4 мм,-
Берегове,8.2020,+23.1 °,+33.2°,+12.5°,0.6 м/с,23 мм,-
Берегове,9.2020,+17.8 °,+29.3°,+5.8°,0.5 м/с,63 мм,-
Берегове,10.2020,+12.4 °,+26.4°,+3.6°,0.4 м/с,73.2 мм,-
Берегове,11.2020,+4.6 °,+15.4°,-4.5°,0.2 м/с,20.6 мм,2 см
Берегове,12.2020,+4.7 °,+15.7°,-7.9°,0.5 м/с,50 мм,-
Бережани,1.2020,+0.5 °,+8.5°,-12.2°,1.7 м/с,35.7 мм,4 см
Бережани,2.2020,+2.4 °,+12.4°,-11.3°,2.6 м/с,61.4 мм,4 см
Бережани,3.2020,+4.8 °,+16.9°,-7.7°,2.1 м/с,28.7 мм,1 см
Бережани,4.2020,+8.8 °,+22.4°,-6.6°,2.1 м/с,20 мм,-
Бережани,5.2020,+11.2 °,+26.9°,-1.7°,2.4 м/с,129.2 мм,-
Бережани,6.2020,+18.7 °,+30.2°,+5.2°,1.8 м/с,108.3 мм,-
