City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm)
Вінниця,2010,2,-0.1,2.7,-3.1,4.7,0.4,18.0
Вінниця,2010,3,0.8,16.2,-14.1,4.0,11.8,23.0
Вінниця,2010,4,9.4,21.3,0.8,3.9,36.6,0.0
Вінниця,2010,5,15.9,23.8,8.7,3.9,48.6,0.0
Вінниця,2010,6,19.4,30.5,8.9,3.7,192.2,0.0
Вінниця,2010,7,22.2,32.3,11.7,3.0,107.3,0.0
Вінниця,2010,8,22.3,33.6,8.5,3.2,14.1,0.0
Вінниця,2010,9,13.7,24.6,6.3,3.3,48.4,0.0
Вінниця,2010,10,5.2,12.2,-3.1,3.5,37.7,0.0
Вінниця,2010,11,7.6,19.2,-9.3,4.4,63.2,2.0
Вінниця,2010,12,-5.0,7.3,-15.1,3.8,48.1,14.0
Володимир,2010,2,2.4,5.8,0.2,2.1,0.8,25.0
Володимир,2010,3,2.9,18.8,-10.8,2.8,21.9,17.0
Володимир,2010,4,9.8,24.6,0.4,2.6,49.2,0.0
Володимир,2010,5,15.2,25.0,4.2,2.4,65.6,11.0
Володимир,2010,6,18.7,31.6,7.0,2.4,59.2,0.0
Володимир,2010,7,21.4,32.7,11.6,1.8,36.9,0.0
Володимир,2010,8,20.1,33.7,6.6,1.8,90.2,0.0
Володимир,2010,9,12.2,22.3,2.1,1.9,111.1,0.0
Володимир,2010,10,5.2,16.6,-3.8,2.3,25.1,0.0
Володимир,2010,11,6.5,18.5,-13.6,2.4,53.1,10.0
Володимир,2010,12,-4.2,5.8,-22.1,2.0,72.4,25.0
Дніпро,2010,2,0.2,4.6,-2.2,4.2,0.2,15.0
Дніпро,2010,3,2.0,16.9,-8.4,4.1,17.5,13.0
Дніпро,2010,4,10.5,21.0,0.7,3.3,19.9,0.0
Дніпро,2010,5,17.4,28.0,8.4,3.0,67.6,0.0
Дніпро,2010,6,22.7,34.8,12.2,3.8,48.9,0.0
Дніпро,2010,7,24.8,36.8,17.7,3.0,70.3,0.0
Дніпро,2010,8,25.8,40.1,10.4,3.8,11.2,0.0
Дніпро,2010,9,16.9,29.1,6.2,4.3,55.8,0.0
