City,Year,Month,Average Temperature,Max Temperature,Min Temperature,Average Wind Speed,Total Precipitation,Max Snow Depth
Вінниця,2010,2,-0.1 °,+2.7°,-3.1°,4.7 м/с,0.4 мм,18 см
Вінниця,2010,3,+0.8 °,+16.2°,-14.1°,4 м/с,11.8 мм,23 см
Вінниця,2010,4,+9.4 °,+21.3°,+0.8°,3.9 м/с,36.6 мм,-
Вінниця,2010,5,+15.9 °,+23.8°,+8.7°,3.9 м/с,48.6 мм,-
Вінниця,2010,6,+19.4 °,+30.5°,+8.9°,3.7 м/с,192.2 мм,-
Вінниця,2010,7,+22.2 °,+32.3°,+11.7°,3 м/с,107.3 мм,-
Вінниця,2010,8,+22.3 °,+33.6°,+8.5°,3.2 м/с,14.1 мм,-
Вінниця,2010,9,+13.7 °,+24.6°,+6.3°,3.3 м/с,48.4 мм,-
Вінниця,2010,10,+5.2 °,+12.2°,-3.1°,3.5 м/с,37.7 мм,-
Вінниця,2010,11,+7.6 °,+19.2°,-9.3°,4.4 м/с,63.2 мм,2 см
Вінниця,2010,12,-5 °,+7.3°,-15.1°,3.8 м/с,48.1 мм,14 см
Володимир,2010,2,+2.4 °,+5.8°,+0.2°,2.1 м/с,0.8 мм,25 см
Володимир,2010,3,+2.9 °,+18.8°,-10.8°,2.8 м/с,21.9 мм,17 см
Володимир,2010,4,+9.8 °,+24.6°,+0.4°,2.6 м/с,49.2 мм,-
Володимир,2010,5,+15.2 °,+25°,+4.2°,2.4 м/с,65.6 мм,11 см
Володимир,2010,6,+18.7 °,+31.6°,+7°,2.4 м/с,59.2 мм,-
Володимир,2010,7,+21.4 °,+32.7°,+11.6°,1.8 м/с,36.9 мм,-
Володимир,2010,8,+20.1 °,+33.7°,+6.6°,1.8 м/с,90.2 мм,-
Володимир,2010,9,+12.2 °,+22.3°,+2.1°,1.9 м/с,111.1 мм,-
Володимир,2010,10,+5.2 °,+16.6°,-3.8°,2.3 м/с,25.1 мм,-
Володимир,2010,11,+6.5 °,+18.5°,-13.6°,2.4 м/с,53.1 мм,10 см
Володимир,2010,12,-4.2 °,+5.8°,-22.1°,2 м/с,72.4 мм,25 см
Дніпро,2010,2,+0.2 °,+4.6°,-2.2°,4.2 м/с,0.2 мм,15 см
Дніпро,2010,3,+2 °,+16.9°,-8.4°,4.1 м/с,17.5 мм,13 см
Дніпро,2010,4,+10.5 °,+21°,+0.7°,3.3 м/с,19.9 мм,-
Дніпро,2010,5,+17.4 °,+28°,+8.4°,3 м/с,67.6 мм,-
Дніпро,2010,6,+22.7 °,+34.8°,+12.2°,3.8 м/с,48.9 мм,-
Дніпро,2010,7,+24.8 °,+36.8°,+17.7°,3 м/с,70.3 мм,-
Дніпро,2010,8,+25.8 °,+40.1°,+10.4°,3.8 м/с,11.2 мм,-
Дніпро,2010,9,+16.9 °,+29.1°,+6.2°,4.3 м/с,55.8 мм,-
Дніпро,2010,10,+6.4 °,+16.9°,-3°,4.2 м/с,53.4 мм,-
Дніпро,2010,11,+8.8 °,+19.8°,-2°,4.2 м/с,38.1 мм,-
Дніпро,2010,12,-0.5 °,+10.6°,-9.7°,4.5 м/с,59.2 мм,9 см
Житомир,2010,2,+0.6 °,+3°,-2.2°,2.9 м/с,0 мм,18 см
Житомир,2010,3,+1.8 °,+16.6°,-10.5°,2 м/с,14.9 мм,20 см
Житомир,2010,4,+10 °,+22°,+0.5°,1.7 м/с,19.5 мм,-
Житомир,2010,5,+16.4 °,+24.7°,+5.4°,1.6 м/с,87.9 мм,-
Житомир,2010,6,+20.2 °,+31.8°,+8°,1.5 м/с,80.6 мм,-
Житомир,2010,7,+22.7 °,+33.6°,+13.2°,1 м/с,85.7 мм,-
Житомир,2010,8,+22 °,+35.8°,+8.8°,1.2 м/с,39 мм,-
Житомир,2010,9,+13.7 °,+24.4°,+4.4°,1.2 м/с,64.8 мм,-
Житомир,2010,10,+5.6 °,+12.6°,-2.7°,1.5 м/с,39.1 мм,-
Житомир,2010,11,+7.4 °,+21.4°,-9.8°,2.2 м/с,87.1 мм,4 см
Житомир,2010,12,-4.4 °,+7.2°,-14.3°,1.6 м/с,51.7 мм,14 см
Запоріжжя,2010,2,+0.5 °,+5.6°,-2.1°,4.1 м/с,0 мм,2 см
Запоріжжя,2010,3,+2.7 °,+17.3°,-7.9°,4.1 м/с,7.8 мм,1 см
Запоріжжя,2010,4,+10.6 °,+21°,-0.7°,3 м/с,7.7 мм,-
Запоріжжя,2010,5,+17.7 °,+28.7°,+8.1°,2.9 м/с,127.8 мм,3 см
Запоріжжя,2010,6,+23 °,+34.1°,+11.1°,3.1 м/с,69.2 мм,-
Запоріжжя,2010,7,+25.5 °,+37.7°,+17.4°,2.8 м/с,20.9 мм,-
Запоріжжя,2010,8,+26.5 °,+39.7°,+9.2°,3.6 м/с,7.8 мм,-
Запоріжжя,2010,9,+17.7 °,+29.8°,+5.7°,3.8 м/с,53.7 мм,-
Запоріжжя,2010,10,+6.8 °,+16.9°,-3.6°,3.6 м/с,58.9 мм,-
Запоріжжя,2010,11,+9.2 °,+20.7°,-1.9°,3.7 м/с,32.3 мм,-
Запоріжжя,2010,12,+0.3 °,+11.7°,-9.3°,3.9 м/с,49 мм,18 см
Івано-Франківськ,2010,2,+1.4 °,+4.4°,-1.1°,2.8 м/с,2.1 мм,16 см
Івано-Франківськ,2010,3,+3 °,+18.5°,-17°,3.2 м/с,40.6 мм,10 см
Івано-Франківськ,2010,4,+9.5 °,+24.1°,-1.7°,2.7 м/с,58 мм,-
Івано-Франківськ,2010,5,+15.3 °,+26.6°,+7°,2.3 м/с,160.3 мм,-
Івано-Франківськ,2010,6,+17.9 °,+32.8°,+7.5°,2.6 м/с,169.3 мм,-
Івано-Франківськ,2010,7,+20.8 °,+31.7°,+10.2°,2.3 м/с,239.7 мм,-
Івано-Франківськ,2010,8,+20.1 °,+32.5°,+5.4°,1.9 м/с,92.4 мм,-
Івано-Франківськ,2010,9,+12.5 °,+21.9°,+3.8°,2.2 м/с,64.6 мм,-
Івано-Франківськ,2010,10,+5.1 °,+14.5°,-6.1°,2.1 м/с,34.3 мм,-
Івано-Франківськ,2010,11,+6.8 °,+21.6°,-9.3°,2.6 м/с,10.5 мм,0.8 см
Івано-Франківськ,2010,12,-4.3 °,+6.8°,-14.4°,2 м/с,39.2 мм,13 см
Ізюм,2010,2,+0.3 °,+4.3°,-3.1°,2 м/с,0.2 мм,2 см
Ізюм,2010,3,+1.8 °,+16.1°,-10.2°,2 м/с,26.2 мм,5 см
Ізюм,2010,4,+10.3 °,+21.7°,-1.5°,1.7 м/с,15.3 мм,-
Ізюм,2010,5,+17.6 °,+27.9°,+5.6°,1.5 м/с,82.1 мм,-
Ізюм,2010,6,+22.9 °,+35.3°,+8.5°,1.6 м/с,25.3 мм,-
Ізюм,2010,7,+24.5 °,+36.2°,+15.3°,1.1 м/с,176.5 мм,-
Ізюм,2010,8,+24.4 °,+38.7°,+5.3°,1.4 м/с,10.1 мм,-
Ізюм,2010,9,+15.4 °,+32.4°,+1.4°,1.3 м/с,110.3 мм,-
Ізюм,2010,10,+6 °,+16.1°,-3.6°,1.7 м/с,64.9 мм,-
Ізюм,2010,11,+8.4 °,+19.2°,-2.5°,2.3 м/с,37.7 мм,-
Ізюм,2010,12,-0.3 °,+11.4°,-11.2°,2.1 м/с,78.4 мм,11 см
Керч,2010,2,+3.2 °,+8.7°,-0.2°,5.2 м/с,0 мм,-
Керч,2010,3,+4.4 °,+15.6°,-6.4°,4.7 м/с,15.4 мм,3 см
Керч,2010,4,+10.1 °,+19.5°,+1.7°,4.1 м/с,15.3 мм,-
Керч,2010,5,+17.1 °,+27.3°,+8.1°,3.7 м/с,54.6 мм,-
Керч,2010,6,+22.9 °,+32.1°,+16.1°,3.8 м/с,77 мм,-
Керч,2010,7,+25.5 °,+34.4°,+18.1°,3.7 м/с,18.5 мм,-
Керч,2010,8,+26.6 °,+35.5°,+16.3°,4.1 м/с,0.8 мм,-
Керч,2010,9,+20.2 °,+32.9°,+10.9°,5 м/с,23.2 мм,-
Керч,2010,10,+10.6 °,+21.4°,+3°,4.8 м/с,55.8 мм,-
Керч,2010,11,+11.5 °,+22.5°,+2.3°,4 м/с,52.7 мм,-
